,,,
,,,
,,,
Pathway,Track,Subject Combination,Code
ARTS & SPORTS SCIENCE,ARTS,"Advanced Mathematics,Fine Arts,Theatre & Film",AS1016
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Marine & Fisheries",ST2051
STEM,APPLIED SCIENCES,"Agriculture,Electricity,Home Science",ST2087
STEM,APPLIED SCIENCES,"Computer Studies,Geography,Marine & Fisheries",ST2015
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Geography,Power Mechanics",ST3020
ARTS & SPORTS SCIENCE,SPORTS,"Business Studies,General Science,Sports & Recreation",AS2017
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Wood Work",ST1009
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,Islamic Religious Education,Mandarine Chinese",SS1078
STEM,APPLIED SCIENCES,"Agriculture,Biology,Home Science",ST2081
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Hindu Religious Education,History & Citizenship,Literature in English",SS2085
STEM,TECHNICAL STUDIES,"Business Studies,Marine & Fisheries,Physics",ST3042
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Metal Work",ST2066
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Christian Religious Education,Fasihi ya Kiswahili,Indigenous Language",SS1034
STEM,APPLIED SCIENCES,"Computer Studies,General Science,Geography",ST2014
STEM,PURE SCIENCES,"Advanced Mathematics,General Science,Geography",ST1028
STEM,TECHNICAL STUDIES,"Business Studies,Physics,Power Mechanics",ST3115
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Fasihi ya Kiswahili,History & Citizenship,Islamic Religious Education",SS2070
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Indigenous Language,Kenya Sign Language,Literature in English",SS1071
STEM,TECHNICAL STUDIES,"General Science,Home Science,Power Mechanics",ST3117
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,German,History & Citizenship",SS2079
STEM,TECHNICAL STUDIES,"Business Studies,Media Technology,Power Mechanics",ST3114
STEM,PURE SCIENCES,"Advanced Mathematics,Agriculture,Physics",ST1030
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Business Studies,Sports & Recreation",AS2002
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,French,Mandarine Chinese",SS1017
STEM,TECHNICAL STUDIES,"Business Studies,Geography,Power Mechanics",ST3110
ARTS & SPORTS SCIENCE,SPORTS,"General Science,Geography,Sports & Recreation",AS2024
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Computer Studies,Geography,Hindu Religious Education",SS2032
STEM,APPLIED SCIENCES,"Biology,Computer Studies,Geography",ST2011
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Christian Religious Education,History & Citizenship",SS2089
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Computer Studies,History & Citizenship,Islamic Religious Education",SS2063
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Geography,History & Citizenship",SS2093
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Business Studies,French,Mandarine Chinese",SS1075
ARTS & SPORTS SCIENCE,SPORTS,"Computer Studies,General Science,Sports & Recreation",AS2018
STEM,TECHNICAL STUDIES,"Geography,Marine & Fisheries,Wood Work",ST3063
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Sports & Recreation,Theatre & Film",AS1017
ARTS & SPORTS SCIENCE,SPORTS,"General Science,Mandarine Chinese,Sports & Recreation",AS2028
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,German,Hindu Religious Education",SS1052
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,French,History & Citizenship",SS1016
STEM,TECHNICAL STUDIES,"Business Studies,General Science,Marine & Fisheries",ST3033
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Metal Work",ST2052
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,History & Citizenship",SS2008
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Electricity,General Science",ST3010
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"French,Geography,Hindu Religious Education",SS2038
STEM,TECHNICAL STUDIES,"Electricity,Geography,Physics",ST3026
STEM,PURE SCIENCES,"Biology,Business Studies,Chemistry",ST1045
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,Literature in English",SS2009
STEM,TECHNICAL STUDIES,"Business Studies,General Science,Power Mechanics",ST3109
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,General Science,Theatre & Film",AS1010
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Computer Studies,History & Citizenship",SS2095
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,Computer Studies",SS2106
STEM,APPLIED SCIENCES,"Agriculture,Chemistry,Home Science",ST2086
ARTS & SPORTS SCIENCE,ARTS,"Geography,Music & Dance,Theatre & Film",AS1046
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Geography,German",SS2046
STEM,PURE SCIENCES,"Advanced Mathematics,Building & Construction,Chemistry",ST1012
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,History & Citizenship,Islamic Religious Education",SS2090
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Geography,Music & Dance",AS1028
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,Islamic Religious Education,Mandarine Chinese",SS2051
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,French,Indigenous Language",SS1032
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Computer Studies",ST1014
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Hindu Religious Education,Indigenous Language,Literature in English",SS1005
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,Islamic Religious Education,Literature in English",SS2048
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Literature in English,Mandarine Chinese",SS1082
STEM,TECHNICAL STUDIES,"General Science,Home Science,Marine & Fisheries",ST3045
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Fasihi ya Kiswahili,Sports & Recreation",AS2007
STEM,APPLIED SCIENCES,"Agriculture,Geography,Home Science",ST2089
STEM,TECHNICAL STUDIES,"General Science,Home Science,Media Technology",ST3075
STEM,APPLIED SCIENCES,"Advanced Mathematics,Agriculture,Computer Studies",ST2065
STEM,PURE SCIENCES,"Advanced Mathematics,Aviation,Biology",ST1002
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Islamic Religious Education,Kenya Sign Language",SS1062
ARTS & SPORTS SCIENCE,ARTS,"Advanced Mathematics,Music & Dance,Theatre & Film",AS1051
ARTS & SPORTS SCIENCE,ARTS,"Music & Dance,Sports & Recreation,Theatre & Film",AS1052
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Geography,Islamic Religious Education",SS2054
STEM,APPLIED SCIENCES,"Advanced Mathematics,Biology,Computer Studies",ST2038
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Computer Studies,Geography",SS2034
STEM,TECHNICAL STUDIES,"Biology,Business Studies,Power Mechanics",ST3106
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Business Studies,Christian Religious Education",SS2021
STEM,TECHNICAL STUDIES,"Geography,Home Science,Metal Work",ST3101
STEM,TECHNICAL STUDIES,"Electricity,Geography,Home Science",ST3007
STEM,TECHNICAL STUDIES,"Chemistry,Geography,Wood Work",ST3056
STEM,PURE SCIENCES,"Advanced Mathematics,Agriculture,Biology",ST1001
STEM,TECHNICAL STUDIES,"Electricity,General Science,Marine & Fisheries",ST3009
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Literature in English,Sports & Recreation",AS2012
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Power Mechanics",ST1021
ARTS & SPORTS SCIENCE,ARTS,"Fasihi ya Kiswahili,Fine Arts,Theatre & Film",AS1008
STEM,APPLIED SCIENCES,"Computer Studies,Geography,Physics",ST2018
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Computer Studies,French,Mandarine Chinese",SS1076
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Marine & Fisheries",ST2064
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,General Science,Kenya Sign Language",SS1066
STEM,APPLIED SCIENCES,"Agriculture,Biology,Geography",ST2071
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,History & Citizenship,Mandarine Chinese",SS2088
STEM,APPLIED SCIENCES,"Building & Construction,Computer Studies,Geography",ST2012
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Geography",ST2062
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Kenya Sign Language,Literature in English",SS1083
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Business Studies,Islamic Religious Education",SS2023
STEM,APPLIED SCIENCES,"Agriculture,Electricity,Geography",ST2080
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Business Studies,French,German",SS1045
STEM,APPLIED SCIENCES,"Advanced Mathematics,Biology,Electricity",ST2039
ARTS & SPORTS SCIENCE,SPORTS,"General Science,German,Sports & Recreation",AS2025
STEM,PURE SCIENCES,"Biology,Chemistry,Computer Studies",ST1046
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Computer Studies,Hindu Religious Education",SS2108
STEM,TECHNICAL STUDIES,"Geography,Home Science,Media Technology",ST3080
ARTS & SPORTS SCIENCE,SPORTS,"Biology,German,Sports & Recreation",AS2010
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Home Science",ST2023
STEM,TECHNICAL STUDIES,"Computer Studies,Geography,Wood Work",ST3057
STEM,TECHNICAL STUDIES,"Business Studies,Marine & Fisheries,Power Mechanics",ST3112
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Metal Work",ST2006
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,History & Citizenship,Islamic Religious Education",SS2058
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Metal Work",ST1019
ARTS & SPORTS SCIENCE,SPORTS,"Biology,French,Sports & Recreation",AS2008
STEM,APPLIED SCIENCES,"Agriculture,Home Science,Power Mechanics",ST2094
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,Hindu Religious Education,Literature in English",SS2049
STEM,TECHNICAL STUDIES,"Geography,Media Technology,Power Mechanics",ST3021
STEM,APPLIED SCIENCES,"Advanced Mathematics,Computer Studies,Geography",ST2016
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Business Studies,Fasihi ya Kiswahili,Indigenous Language",SS1042
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,History & Citizenship,Literature in English",SS2082
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Computer Studies,Fasihi ya Kiswahili,Kenya Sign Language",SS1028
STEM,TECHNICAL STUDIES,"Geography,Home Science,Marine & Fisheries",ST3058
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,French,Islamic Religious Education",SS2113
STEM,TECHNICAL STUDIES,"Business Studies,Computer Studies,Power Mechanics",ST3108
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,French,Geography",SS2068
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Media Technology,Sports & Recreation",AS2015
STEM,PURE SCIENCES,"Advanced Mathematics,Physics,Power Mechanics",ST1040
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,History & Citizenship,Indigenous Language",SS1024
STEM,APPLIED SCIENCES,"Computer Studies,Home Science,Physics",ST2031
STEM,TECHNICAL STUDIES,"General Science,Home Science,Wood Work",ST3048
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"German,Hindu Religious Education,History & Citizenship",SS2081
STEM,APPLIED SCIENCES,"Chemistry,Computer Studies,Geography",ST2013
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,History & Citizenship,Literature in English",SS1081
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Geography,Wood Work",ST3064
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Hindu Religious Education,History & Citizenship",SS2059
STEM,TECHNICAL STUDIES,"Geography,Marine & Fisheries,Power Mechanics",ST3019
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Hindu Religious Education,Mandarine Chinese",SS2014
STEM,APPLIED SCIENCES,"Agriculture,Geography,Marine & Fisheries",ST2084
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Fasihi ya Kiswahili,Geography,Hindu Religious Education",SS2037
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,Hindu Religious Education,History & Citizenship",SS2020
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Business Studies,Islamic Religious Education",SS2104
STEM,TECHNICAL STUDIES,"Biology,Geography,Metal Work",ST3098
STEM,PURE SCIENCES,"Advanced Mathematics,Building & Construction,Physics",ST1032
STEM,TECHNICAL STUDIES,"General Science,Marine & Fisheries,Wood Work",ST3049
STEM,APPLIED SCIENCES,"Agriculture,General Science,Home Science",ST2088
STEM,TECHNICAL STUDIES,"Business Studies,Metal Work,Physics",ST3092
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Geography,Islamic Religious Education",SS2030
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Geography,German",SS2066
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Islamic Religious Education,Mandarine Chinese",SS2015
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,General Science",ST2002
STEM,PURE SCIENCES,"Advanced Mathematics,Business Studies,Chemistry",ST1013
ARTS & SPORTS SCIENCE,ARTS,"Business Studies,Fine Arts,Music & Dance",AS1020
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,History & Citizenship,Mandarine Chinese",SS1056
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Business Studies,Geography",SS2084
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,History & Citizenship,Kenya Sign Language",SS1072
ARTS & SPORTS SCIENCE,SPORTS,"Christian Religious Education,General Science,Sports & Recreation",AS2019
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Islamic Religious Education,Literature in English",SS2011
STEM,APPLIED SCIENCES,"Computer Studies,Home Science,Power Mechanics",ST2032
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Business Studies,French",SS1004
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Power Mechanics",ST2054
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,History & Citizenship,Islamic Religious Education",SS2022
ARTS & SPORTS SCIENCE,ARTS,"Computer Studies,Fine Arts,Theatre & Film",AS1004
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,French,Geography",SS2040
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Geography,Indigenous Language,Literature in English",SS1061
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,General Science,Geography",SS2067
STEM,TECHNICAL STUDIES,"Electricity,Geography,Media Technology",ST3025
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"French,Geography,History & Citizenship",SS2016
STEM,TECHNICAL STUDIES,"Business Studies,Geography,Metal Work",ST3087
STEM,APPLIED SCIENCES,"Agriculture,Aviation,Home Science",ST2079
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Fasihi ya Kiswahili,Hindu Religious Education",SS2111
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Fasihi ya Kiswahili,Geography",SS2073
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,French,Geography",SS1015
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,French,Hindu Religious Education",SS2114
STEM,PURE SCIENCES,"Advanced Mathematics,Geography,Physics",ST1036
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,General Science,Mandarine Chinese",SS1054
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Business Studies,History & Citizenship",SS2102
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Literature in English,Theatre & Film",AS1014
STEM,APPLIED SCIENCES,"Agriculture,Biology,Business Studies",ST2044
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Christian Religious Education,Sports & Recreation",AS2004
ARTS & SPORTS SCIENCE,ARTS,"Islamic Religious Education,Music & Dance,Theatre & Film",AS1041
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,History & Citizenship,Theatre & Film",AS1013
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,French,Kenya Sign Language",SS1035
STEM,TECHNICAL STUDIES,"Business Studies,Home Science,Metal Work",ST3088
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Home Science",ST1017
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Geography",ST2003
STEM,APPLIED SCIENCES,"Advanced Mathematics,Biology,Home Science",ST2041
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Fasihi ya Kiswahili,Kenya Sign Language",SS1021
STEM,APPLIED SCIENCES,"Agriculture,Biology,Computer Studies",ST2057
STEM,PURE SCIENCES,"Advanced Mathematics,Home Science,Physics",ST1037
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"General Science,Hindu Religious Education,History & Citizenship",SS2078
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,History & Citizenship,Islamic Religious Education",SS2007
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Business Studies,Indigenous Language,Literature in English",SS1012
ARTS & SPORTS SCIENCE,SPORTS,"Fasihi ya Kiswahili,General Science,Sports & Recreation",AS2022
STEM,APPLIED SCIENCES,"Agriculture,General Science,Geography",ST2082
STEM,PURE SCIENCES,"Advanced Mathematics,General Science,Home Science",ST1029
STEM,TECHNICAL STUDIES,"Business Studies,Marine & Fisheries,Media Technology",ST3041
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Computer Studies,Islamic Religious Education",SS2107
STEM,TECHNICAL STUDIES,"Geography,Marine & Fisheries,Metal Work",ST3102
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Power Mechanics",ST2068
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,General Science,Geography",SS2043
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Music & Dance,Sports & Recreation",AS1034
ARTS & SPORTS SCIENCE,SPORTS,"French,General Science,Sports & Recreation",AS2023
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Business Studies,Media",ST3072
Technology,,,
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Music & Dance,Theatre & Film",AS1035
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Islamic Religious Education,Theatre & Film",AS1006
ARTS & SPORTS SCIENCE,ARTS,"Fasihi ya Kiswahili,Fine Arts,Music & Dance",AS1025
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Fasihi ya Kiswahili,History & Citizenship",SS2096
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Literature in English,Music & Dance",AS1031
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Hindu Religious Education,Kenya Sign Language",SS1063
STEM,PURE SCIENCES,"Advanced Mathematics,Computer Studies,General Science",ST1027
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Christian Religious Education,Geography",SS2053
STEM,TECHNICAL STUDIES,"General Science,Geography,Metal Work",ST3100
STEM,APPLIED SCIENCES,"Agriculture,Building & Construction,Geography",ST2074
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,General Science,German",SS1053
STEM,APPLIED SCIENCES,"Agriculture,Geography,Metal Work",ST2073
STEM,TECHNICAL STUDIES,"Business Studies,Geography,Marine & Fisheries",ST3037
ARTS & SPORTS SCIENCE,SPORTS,"Arabic,General Science,Sports & Recreation",AS2016
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Geography",ST2050
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Geography,Mandarine Chinese",SS2060
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,General Science",ST2061
STEM,TECHNICAL STUDIES,"Business Studies,Chemistry,Marine & Fisheries",ST3030
STEM,APPLIED SCIENCES,"Computer Studies,Geography,Home Science",ST2027
STEM,APPLIED SCIENCES,"Building & Construction,Computer Studies,Home Science",ST2022
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Computer Studies,Indigenous Language,Literature in English",SS1010
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,Geography",SS2001
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,German,Islamic Religious Education",SS2045
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Christian Religious Education,French,German",SS1048
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Geography,Indigenous Language",SS1027
STEM,TECHNICAL STUDIES,"Advanced Mathematics,General Science,Media Technology",ST3076
STEM,TECHNICAL STUDIES,"Biology,Geography,Media Technology",ST3077
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Christian Religious Education,Indigenous Language,Literature in English",SS1003
STEM,PURE SCIENCES,"Advanced Mathematics,Building & Construction,General Science",ST1025
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Business Studies,Wood Work",ST3036
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"French,Hindu Religious Education,History & Citizenship",SS2072
STEM,APPLIED SCIENCES,"Advanced Mathematics,Agriculture,Geography",ST2072
STEM,TECHNICAL STUDIES,"Business Studies,Home Science,Marine & Fisheries",ST3039
STEM,TECHNICAL STUDIES,"Advanced Mathematics,General Science,Power Mechanics",ST3119
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Kenya Sign Language,Mandarine Chinese",SS1073
STEM,TECHNICAL STUDIES,"Business Studies,Home Science,Power Mechanics",ST3111
ARTS & SPORTS SCIENCE,ARTS,"Advanced Mathematics,Fine Arts,Music & Dance",AS1033
STEM,TECHNICAL STUDIES,"Geography,Media Technology,Wood Work",ST3069
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Indigenous Language,Literature in English",SS1013
STEM,TECHNICAL STUDIES,"Computer Studies,General Science,Power Mechanics",ST3116
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Fasihi ya Kiswahili,Geography,Islamic Religious Education",SS2036
STEM,APPLIED SCIENCES,"Business Studies,Chemistry,Computer Studies",ST2099
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Physics",ST1020
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Business Studies",ST1003
STEM,TECHNICAL STUDIES,"Electricity,General Science,Media Technology",ST3012
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Christian Religious Education,French",SS1008
STEM,TECHNICAL STUDIES,"Business Studies,Home Science,Media Technology",ST3070
STEM,TECHNICAL STUDIES,"Computer Studies,General Science,Metal Work",ST3093
STEM,APPLIED SCIENCES,"Computer Studies,General Science,Home Science",ST2026
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,French,History & Citizenship",SS2075
STEM,TECHNICAL STUDIES,"Biology,Business Studies,Marine & Fisheries",ST3028
STEM,TECHNICAL STUDIES,"Biology,Geography,Marine & Fisheries",ST3052
